,FKL05,FKL06,0
664,SUMATERA UTARA,KOTA BANDUNG,0
665,SUMATERA UTARA,KOTA CIREBON,0
666,SUMATERA UTARA,KOTA BEKASI,0
667,SUMATERA UTARA,KOTA DEPOK,0
668,SUMATERA UTARA,KOTA CIMAHI,0
669,SUMATERA UTARA,KOTA TASIKMALAYA,0
670,SUMATERA UTARA,KOTA BANJAR,0
671,SUMATERA UTARA,CILACAP,0
672,SUMATERA UTARA,BANYUMAS,0
673,SUMATERA UTARA,PURBALINGGA,0
674,SUMATERA UTARA,BANJARNEGARA,0
675,SUMATERA UTARA,KEBUMEN,0
